,RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,FOLLOWING
24,25,FC Barcelona,sport,football,43.3,False
20,21,Kourtney Kardashian,celebrities,tv,50.7,False
26,27,Justin Timberlake,celebrities,musicians,39.6,False
27,28,Ellen,celebrities,tv,38.2,False
14,15,Leo Messi,celebrities,athletes,61.3,True
7,8,Justin Bieber,celebrities,musicians,77.9,True
11,12,nike,fashion,sport,68.2,True
15,16,Khloe,celebrities,tv,60.2,True
10,11,Nicki Minaj,celebrities,musicians,70.8,True
16,17,KATY PERRY,celebrities,musicians,59.6,True
4,5,Kim Kardashian West,celebrities,tv,89.3,True
12,13,National Geographic,media,,65.8,True
19,20,Demi Lovato,celebrities,musicians,51.3,False
9,10,Kendall,celebrities,models,70.9,True
13,14,Nj,celebrities,athletes,64.0,True
25,26,Real Madrid C.F.,sport,football,41.8,False
3,4,Beyonce,celebrities,musicians,90.6,True
31,32,David Beckham,celebrities,athletes,31.7,False
2,3,Ariana Grande,celebrities,musicians,92.3,True
5,6,Cristiano Ronaldo,celebrities,athletes,85.1,True
29,30,Zendaya,celebrities,musicians,36.0,False
0,1,Selena Gomez,celebrities,musicians,105.4,True
8,9,therock,celebrities,athletes,73.3,True
18,19,Jennifer Lopez,celebrities,musicians,55.2,False
22,23,badgalriri,celebrities,musicians,47.3,False
1,2,Taylor Swift,celebrities,musicians,95.2,True
23,24,Kevin Hart,celebrities,actors,45.9,False
6,7,Kylie,celebrities,models,81.8,True
21,22,Victoria's Secret,fashion,,49.1,False
30,31,9gag,entertainment,,35.0,False
17,18,Miley Cyrus,celebrities,musicians,57.8,False
28,29,Cara Delevingne,celebrities,models,36.2,False
32,33,champagnepapi,celebrities,musicians,31.1,False
